EH_ID,dpi,weight,weight_dpi0,faeces_weight,wloss,labels,day_change
LM_0348,0,,,,,,
LM_0349,0,,,,,,
LM_0350,0,,,,,,
LM_0351,0,,,,,,
LM_0352,0,,,,,,
LM_0353,0,,,,,,
LM_0354,0,,,,,,
LM_0355,0,,,,,,
LM_0356,0,,,,,,
LM_0357,0,,,,,,
LM_0358,0,,,,,,
LM_0359,0,,,,,,
LM_0360,0,,,,,,
LM_0361,0,,,,,,
LM_0362,0,,,,,,
LM_0363,0,,,,,,
LM_0364,0,,,,,,
LM_0365,0,,,,,,
LM_0366,0,,,,,,
LM_0367,0,,,,,,
LM_0348,1,,,,,,
LM_0349,1,,,,,,
LM_0350,1,,,,,,
LM_0351,1,,,,,,
LM_0352,1,,,,,,
LM_0353,1,,,,,,
LM_0354,1,,,,,,
LM_0355,1,,,,,,
LM_0356,1,,,,,,
LM_0357,1,,,,,,
LM_0358,1,,,,,,
LM_0359,1,,,,,,
LM_0360,1,,,,,,
LM_0361,1,,,,,,
LM_0362,1,,,,,,
LM_0363,1,,,,,,
LM_0364,1,,,,,,
LM_0365,1,,,,,,
LM_0366,1,,,,,,
LM_0367,1,,,,,,
LM_0348,2,,,,,,
LM_0349,2,,,,,,
LM_0350,2,,,,,,
LM_0351,2,,,,,,
LM_0352,2,,,,,,
LM_0353,2,,,,,,
LM_0354,2,,,,,,
LM_0355,2,,,,,,
LM_0356,2,,,,,,
LM_0357,2,,,,,,
LM_0358,2,,,,,,
LM_0359,2,,,,,,
LM_0360,2,,,,,,
LM_0361,2,,,,,,
LM_0362,2,,,,,,
LM_0363,2,,,,,,
LM_0364,2,,,,,,
LM_0365,2,,,,,,
LM_0366,2,,,,,,
LM_0367,2,,,,,,
LM_0348,3,,,,,,
LM_0349,3,,,,,,
LM_0350,3,,,,,,
LM_0351,3,,,,,,
LM_0352,3,,,,,,
LM_0353,3,,,,,,
LM_0354,3,,,,,,
LM_0355,3,,,,,,
LM_0356,3,,,,,,
LM_0357,3,,,,,,
LM_0358,3,,,,,,
LM_0359,3,,,,,,
LM_0360,3,,,,,,
LM_0361,3,,,,,,
LM_0362,3,,,,,,
LM_0363,3,,,,,,
LM_0364,3,,,,,,
LM_0365,3,,,,,,
LM_0366,3,,,,,,
LM_0367,3,,,,,,
LM_0348,4,,,,,,
LM_0349,4,,,,,,
LM_0350,4,,,,,,
LM_0351,4,,,,,,
LM_0352,4,,,,,,
LM_0353,4,,,,,,
LM_0354,4,,,,,,
LM_0355,4,,,,,,
LM_0356,4,,,,,,
LM_0357,4,,,,,,
LM_0358,4,,,,,,
LM_0359,4,,,,,,
LM_0360,4,,,,,,
LM_0361,4,,,,,,
LM_0362,4,,,,,,
LM_0363,4,,,,,,
LM_0364,4,,,,,,
LM_0365,4,,,,,,
LM_0366,4,,,,,,
LM_0367,4,,,,,,
LM_0348,5,,,,,,
LM_0349,5,,,,,,
LM_0350,5,,,,,,
LM_0351,5,,,,,,
LM_0352,5,,,,,,
LM_0353,5,,,,,,
LM_0354,5,,,,,,
LM_0355,5,,,,,,
LM_0356,5,,,,,,
LM_0357,5,,,,,,
LM_0358,5,,,,,,
LM_0359,5,,,,,,
LM_0360,5,,,,,,
LM_0361,5,,,,,,
LM_0362,5,,,,,,
LM_0363,5,,,,,,
LM_0364,5,,,,,,
LM_0365,5,,,,,,
LM_0366,5,,,,,,
LM_0367,5,,,,,,
LM_0348,6,,,,,,
LM_0349,6,,,,,,
LM_0350,6,,,,,,
LM_0351,6,,,,,,
LM_0352,6,,,,,,
LM_0353,6,,,,,,
LM_0354,6,,,,,,
LM_0355,6,,,,,,
LM_0356,6,,,,,,
LM_0357,6,,,,,,
LM_0358,6,,,,,,
LM_0359,6,,,,,,
LM_0360,6,,,,,,
LM_0361,6,,,,,,
LM_0362,6,,,,,,
LM_0363,6,,,,,,
LM_0364,6,,,,,,
LM_0365,6,,,,,,
LM_0366,6,,,,,,
LM_0367,6,,,,,,
LM_0348,7,,,,,,
LM_0349,7,,,,,,
LM_0350,7,,,,,,
LM_0351,7,,,,,,
LM_0352,7,,,,,,
LM_0353,7,,,,,,
LM_0354,7,,,,,,
LM_0355,7,,,,,,
LM_0356,7,,,,,,
LM_0357,7,,,,,,
LM_0358,7,,,,,,
LM_0359,7,,,,,,
LM_0360,7,,,,,,
LM_0361,7,,,,,,
LM_0362,7,,,,,,
LM_0363,7,,,,,,
LM_0364,7,,,,,,
LM_0365,7,,,,,,
LM_0366,7,,,,,,
LM_0367,7,,,,,,
LM_0348,8,,,,,,
LM_0349,8,,,,,,
LM_0350,8,,,,,,
LM_0351,8,,,,,,
LM_0352,8,,,,,,
LM_0353,8,,,,,,
LM_0354,8,,,,,,
LM_0355,8,,,,,,
LM_0356,8,,,,,,
LM_0357,8,,,,,,
LM_0358,8,,,,,,
LM_0359,8,,,,,,
LM_0360,8,,,,,,
LM_0361,8,,,,,,
LM_0362,8,,,,,,
LM_0363,8,,,,,,
LM_0364,8,,,,,,
LM_0365,8,,,,,,
LM_0366,8,,,,,,
LM_0367,8,,,,,,
LM_0348,9,,,,,,
LM_0349,9,,,,,,
LM_0350,9,,,,,,
LM_0351,9,,,,,,
LM_0352,9,,,,,,
LM_0353,9,,,,,,
LM_0354,9,,,,,,
LM_0355,9,,,,,,
LM_0356,9,,,,,,
LM_0357,9,,,,,,
LM_0358,9,,,,,,
LM_0359,9,,,,,,
LM_0360,9,,,,,,
LM_0361,9,,,,,,
LM_0362,9,,,,,,
LM_0363,9,,,,,,
LM_0364,9,,,,,,
LM_0365,9,,,,,,
LM_0366,9,,,,,,
LM_0367,9,,,,,,
LM_0348,10,,,,,,
LM_0349,10,,,,,,
LM_0350,10,,,,,,
LM_0351,10,,,,,,
LM_0352,10,,,,,,
LM_0353,10,,,,,,
LM_0354,10,,,,,,
LM_0355,10,,,,,,
LM_0356,10,,,,,,
LM_0357,10,,,,,,
LM_0358,10,,,,,,
LM_0359,10,,,,,,
LM_0360,10,,,,,,
LM_0361,10,,,,,,
LM_0362,10,,,,,,
LM_0363,10,,,,,,
LM_0364,10,,,,,,
LM_0365,10,,,,,,
LM_0366,10,,,,,,
LM_0367,10,,,,,,
LM_0348,11,,,,,,
LM_0349,11,,,,,,
LM_0350,11,,,,,,
LM_0351,11,,,,,,
LM_0352,11,,,,,,
LM_0353,11,,,,,,
LM_0354,11,,,,,,
LM_0355,11,,,,,,
LM_0356,11,,,,,,
LM_0357,11,,,,,,
LM_0358,11,,,,,,
LM_0359,11,,,,,,
LM_0360,11,,,,,,
LM_0361,11,,,,,,
LM_0362,11,,,,,,
LM_0363,11,,,,,,
LM_0364,11,,,,,,
LM_0365,11,,,,,,
LM_0366,11,,,,,,
LM_0367,11,,,,,,
