"","Locality","Genome","Strain","IDD","Dam","Gen","Sir","IDS","Sir.1","Gen.1","Born","Fpar","LS","MM","FF","ID","PIN","Sex","Gen.2","Wean","BW10","BW20","Clip","Departure","NOTE","Parent1","Parent2","HybridStatus","ageAtdpi0expe1a","Batch","InfectionStrain","EH_ID","deltaCt_MminusE","primary","challenge","contamination","InfectionHistory","InfectionHistoryTotal"
"1","BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",901,"M","F1","1M",7.85,12.43,"P2",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E64","LM0227",-5.79,"E88","E64","u.c.","E88 E64","u.c. E88 E64"
"2","STRA x BUSNA","dom x mus","STRA_BUSNA","SY",6346,55,"BUSNA","SY",6111,60,"2018-03-07",2,5,"2","3","EX",662,"F","F1","1F",7.71,10.34,"L4",NA,"","STRA","BUSNA","inter subsp. hybrids",17.71428571,2,"E64","LM0228",-5.91,"E88","E64","u.c.","E88 E64","u.c. E88 E64"
"3","Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,"2018-05-07",6,5,"2","3","EX",985,"F","37","1F",6.23,9.01,"P5",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E88","LM0229",-7.12,"E88","E88",NA,"E88 E88","NA E88 E88"
"4","PWD x SCHUNT","mus x dom","PWD_SCHUNT","SY",5681,42,"SCHUNT","SY",8172,37,"2018-05-07",5,8,"4","4","EX",979,"F","F1","1F",5.91,10.38,"L5",NA,"","PWD","SCHUNT","inter subsp. hybrids",9,2,"E64","LM0231",-5.16,"E88","E64",NA,"E88 E64","NA E88 E64"
"5","BUSNA x STRA","mus x dom","BUSNA_STRA","SY",6114,60,"STRA","SY",6345,55,"2018-04-25",4,2,"2","0","EX",902,"M","F1","1M",7.8,12.45,"P3",NA,"","BUSNA","STRA","inter subsp. hybrids",10.71428571,2,"E88","LM0232",-6.22,"E88","E88",NA,"E88 E88","NA E88 E88"
"6","Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",953,"F","57","1F",7.91,11.69,"L2",NA,"REZERVA","STRA","STRA","parental strains",9.571428571,2,"E88","LM0233",-5.97,"E88","E88",NA,"E88 E88","NA E88 E88"
"7","Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",951,"M","57","1M",8.16,12.32,"P5",NA,"REZERVA","STRA","STRA","parental strains",9.571428571,2,"E64","LM0234",-7.89,"E88","E64",NA,"E88 E64","NA E88 E64"
"8","STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-03-21",3,11,"7","4","EX",712,"F","F1","1F",6.01,11.23,"P5",NA,"","STRA","SCHUNT","outbred hybrids",15.71428571,2,"E64","LM0235",-5.84,"E88","E64","E64","E88 E64","E64 E88 E64"
"9","Straas2","dom","STRA_STRA","SY",8113,56,"STRA","SY",8111,56,"2018-05-03",2,7,"6","1","EX",948,"M","57","1M",7.73,11.92,"P2",NA,"","STRA","STRA","parental strains",9.571428571,2,"E64","LM0236",-6.02,"E88","E64",NA,"E88 E64","NA E88 E64"
"10","PWD x BUSNA","mus x mus","PWD_BUSNA","SY",2996,46,"BUSNA","SY",6113,60,"2018-05-02",7,6,"5","?","EX",941,"M","F1","1M",5.39,8.68,"L4",NA,"REZERVA","PWD","BUSNA","outbred hybrids",9.714285714,2,"E64","LM0238",-4.42,"E88","E64","u.c.","E88 E64","u.c. E88 E64"
"11","Schweben 2","dom","SCHUNT_SCHUNT","SY",5726,36,"SCHUNT","SY",5725,36,"2018-05-07",6,5,"2","3","EX",986,"F","37","1F",7.12,10.94,"L2",NA,"","SCHUNT","SCHUNT","parental strains",9,2,"E88","LM0239",-6.76,"E88","E88","u.c.","E88 E88","u.c. E88 E88"
"12","SCHUNT x PWD","dom x mus","SCHUNT_PWD","SY",6904,37,"PWD","SY",5342,42,"2018-04-15",2,10,"7","3","EX",837,"F","F1","1F",6.95,11.7,"P5",NA,"","SCHUNT","PWD","inter subsp. hybrids",12.14285714,2,"E64","LM0240",-6.65,"E88","E64","u.c.","E88 E64","u.c. E88 E64"
"13","STRA x SCHUNT","dom","STRA_SCHUNT","SY",5825,55,"SCHUNT","SY",3470,36,"2018-05-02",4,10,"6","4","EX",935,"M","F1","1M",7.69,13.66,"P4",NA,"REZERVA","STRA","SCHUNT","outbred hybrids",9.714285714,2,"E88","LM0247",-4.68,"E88","E88","u.c.","E88 E88","u.c. E88 E88"
