"","EH_ID","CXCR3","IRG6","IL.12","delta","observer","Caecum"
"1","LM_0227",-10.535,-4.425,-9.13,-5.79,"Anna","pos"
"2","LM_0228",-8.9125,-4.3925,-6.9325,-5.91,"Anna","pos"
"3","LM_0229",-7.4325,-3.1225,-4.6475,-7.12,"Anna","neg"
"4","LM_0231",-9.3825,-4.3125,-6.8575,-5.16,"Anna","pos"
"5","LM_0232",-10.55,-3.01,-5.435,-6.22,"Anna","pos"
"6","LM_0233",-11.1725,NA,-6.1225,-5.97,"Anna","neg"
"7","LM_0235",-8.6925,-3.0275,-5.5975,-5.84,"Anna","pos"
"8","LM_0238",-10.3425,-4.3375,-6.3925,-4.42,"Anna","pos"
"9","LM_0240",-8.47,-2.455,-5.66,-6.65,"Anna","pos"
"10","LM_0247",-11.1375,-3.9525,-6.0825,-4.68,"Anna","pos"
"11","LM_0249",-9.7675,-4.1475,-6.6525,-5.96,"Anna","pos"
"12","LM_0251",-8.835,-4.365,-6.47,-4.73,"Anna","pos"
"13","LM_0255",-10.875,-3.245,-6.495,-2.73,"Anna","pos"
"14","LM_0256",-8.5175,-2.1375,-4.0625,-8.9,"Anna","neg"
"15","LM_0257",-10.995,-3.45,-5.385,-6.93,"Anna","pos"
"16","LM_0258",-8.295,-2.285,-5.855,-5.75,"Anna","pos"
"17","LM_0259",-9.505,-3.07,-5.27,-8,"Anna","neg"
"18","LM_0260",-11.615,-3.91,-6.305,-11.9,"Anna","neg"
"19","LM_0261",-10.8875,-6.3575,-9.9775,-5.9,"Anna","neg"
"20","LM_0262",-12.8075,-5.5025,-7.7025,-10.06,"Anna","neg"
"21","LM_0263",-4.88,-12.735,-6.165,-8.38,"Anna","pos"
"22","LM_0264",-7.4725,-1.0475,-4.9125,-10.02,"Anna","neg"
"23","LM_0265",-5.5275,-15.3325,-6.5675,-11.42,"Anna","neg"
"24","LM_0265",-5.5275,-15.3325,-6.5675,-11.42,"Anna","neg"
"25","LM_0266",-8.0425,0.862500000000001,-4.0675,-8.25,"Anna","neg"
"26","LM_0268",-16.435,-8.365,-12.48,-8.15,"Anna","neg"
"27","LM_0269",-6.3075,-13.0275,-3.8175,-7.91,"Anna","pos"
"28","LM_0270",-10.955,-5.455,-8.01,-9.75,"Anna","neg"
"29","LM_0271",-10.305,-4.755,-8.22,-9.2,"Anna","neg"
"30","LM_0272",-12.895,-6.865,-9.9,-10.55,"Anna","neg"
"31","LM_0273",-7.9625,-3.4275,-6.1625,-10.42,"Anna","neg"
"32","LM_0275",-9.04,-3.14,-5.23,4.14,"Anna","neg"
"33","LM_0276",-9.66,-3.74,-6.19,-10.61,"Anna","neg"
"34","LM_0277",-10.64,-3.945,-6.145,-10.39,"Anna","neg"
"35","LM_0278",-9.91,-5.355,-8.825,-10.99,"Anna","neg"
"36","LM_0279",-12.4775,-12.0475,-8.6525,-9.18,"Anna","neg"
"37","LM_0280",-10.185,-3.255,-5.19,-7.12,"Anna","pos"
"38","LM_0282",-5.255,-11.83,-5.85,-12.69,"Anna","neg"
"39","LM_0283",-10.3775,-2.8525,-5.16249999999999,-10.57,"Anna","neg"
"40","LM_0284",-8.2675,-2.3425,-4.1425,-6.19,"Anna","pos"
"41","LM_0285",-1.455,NA,-5.26499999999999,-3.11,"Anna","pos"
"42","LM_0286",-6.12,-1.42,-4.235,-9.21,"Anna","neg"
"43","LM_0287",7.7525,19.7025,NA,-6.34,"Anna","pos"
"44","LM_0288",-10.505,-5.495,-8.07,-8.79,"Anna","neg"
"45","LM_0289",-9.55,-3.315,-7.37,-9.18,"Anna","neg"
"46","LM_0293",-7.65,-11.33,-8.98,-5.02,"Anna","neg"
"47","LM_0294",-10.5775,-3.1975,-5.0975,11.61,"Anna","pos"
