labels,EH_ID,dpi,weight,weight_dpi0,weightloss,weightRelativeToInfection,fecweight,oocyst_sq1,oocyst_sq2,oocyst_sq3,oocyst_sq4,oocyst_mean,dilution,OPG
BN,LM0296,0,48.2,48.2,,,0.66,,,,,,,
JW,LM0297,0,48.2,48.2,,,1.32,,,,,,,
JR,LM0298,0,46,46,,,1.08,,,,,,,
JV,LM0299,0,52.8,52.8,,,1.75,,,,,,,
PW,LM0300,0,46.6,46.6,,,0.55,,,,,,,
JZ,LM0301,0,60.6,60.6,,,2.18,,,,,,,
AE,LM0302,0,51.4,51.4,,,1.05,,,,,,,
DF,LM0303,0,47.7,47.7,,,1.08,,,,,,,
KR,LM0296,1,,48.2,,,,,,,,,,
HQ,LM0297,1,,48.2,,,,,,,,,,
KY,LM0298,1,,46,,,,,,,,,,
HZ,LM0299,1,,52.8,,,,,,,,,,
DU,LM0300,1,,46.6,,,,,,,,,,
QZ,LM0301,1,,60.6,,,,,,,,,,
DW,LM0302,1,,51.4,,,,,,,,,,
OP,LM0303,1,,47.7,,,,,,,,,,
UX,LM0296,2,,48.2,,,,,,,,,,
DO,LM0297,2,,48.2,,,,,,,,,,
CL,LM0298,2,,46,,,,,,,,,,
CZ,LM0299,2,,52.8,,,,,,,,,,
EH,LM0300,2,,46.6,,,,,,,,,,
DY,LM0301,2,,60.6,,,,,,,,,,
BZ,LM0302,2,,51.4,,,,,,,,,,
AN,LM0303,2,,47.7,,,,,,,,,,
CT,LM0296,3,,48.2,,,,,,,,,,
MW,LM0297,3,,48.2,,,,,,,,,,
HL,LM0298,3,,46,,,,,,,,,,
PS,LM0299,3,,52.8,,,,,,,,,,
MZ,LM0300,3,,46.6,,,,,,,,,,
AO,LM0301,3,,60.6,,,,,,,,,,
FZ,LM0302,3,,51.4,,,,,,,,,,
DJ,LM0303,3,,47.7,,,,,,,,,,
DV,LM0296,4,,48.2,,,,,,,,,,
GU,LM0297,4,,48.2,,,,,,,,,,
CG,LM0298,4,,46,,,,,,,,,,
LM,LM0299,4,,52.8,,,,,,,,,,
CM,LM0300,4,,46.6,,,,,,,,,,
DG,LM0301,4,,60.6,,,,,,,,,,
QV,LM0302,4,,51.4,,,,,,,,,,
LW,LM0303,4,,47.7,,,,,,,,,,
SU,LM0296,5,,48.2,,,,,,,,,,
IU,LM0297,5,,48.2,,,,,,,,,,
TY,LM0298,5,,46,,,,,,,,,,
IM,LM0299,5,,52.8,,,,,,,,,,
SZ,LM0300,5,,46.6,,,,,,,,,,
GM,LM0301,5,,60.6,,,,,,,,,,
IZ,LM0302,5,,51.4,,,,,,,,,,
RX,LM0303,5,,47.7,,,,,,,,,,
CV,LM0296,6,,48.2,,,,,,,,,,
VX,LM0297,6,,48.2,,,,,,,,,,
AV,LM0298,6,,46,,,,,,,,,,
DQ,LM0299,6,,52.8,,,,,,,,,,
JQ,LM0300,6,,46.6,,,,,,,,,,
GJ,LM0301,6,,60.6,,,,,,,,,,
BS,LM0302,6,,51.4,,,,,,,,,,
GI,LM0303,6,,47.7,,,,,,,,,,
FX,LM0296,7,,48.2,,,,,,,,,,
XZ,LM0297,7,,48.2,,,,,,,,,,
BX,LM0298,7,,46,,,,,,,,,,
LR,LM0299,7,,52.8,,,,,,,,,,
LV,LM0300,7,,46.6,,,,,,,,,,
AM,LM0301,7,,60.6,,,,,,,,,,
DP,LM0302,7,,51.4,,,,,,,,,,
VZ,LM0303,7,,47.7,,,,,,,,,,
CQ,LM0296,8,,48.2,,,,,,,,,,
QU,LM0297,8,,48.2,,,,,,,,,,
DL,LM0298,8,,46,,,,,,,,,,
FW,LM0299,8,,52.8,,,,,,,,,,
RY,LM0300,8,,46.6,,,,,,,,,,
GQ,LM0301,8,,60.6,,,,,,,,,,
BH,LM0302,8,,51.4,,,,,,,,,,
LS,LM0303,8,,47.7,,,,,,,,,,
OR,LM0296,9,,48.2,,,,,,,,,,
JS,LM0297,9,,48.2,,,,,,,,,,
AX,LM0298,9,,46,,,,,,,,,,
FU,LM0299,9,,52.8,,,,,,,,,,
EG,LM0300,9,,46.6,,,,,,,,,,
AS,LM0301,9,,60.6,,,,,,,,,,
NZ,LM0302,9,,51.4,,,,,,,,,,
HS,LM0303,9,,47.7,,,,,,,,,,
NU,LM0296,10,,48.2,,,,,,,,,,
FG,LM0297,10,,48.2,,,,,,,,,,
BL,LM0298,10,,46,,,,,,,,,,
NY,LM0299,10,,52.8,,,,,,,,,,
BY,LM0300,10,,46.6,,,,,,,,,,
KV,LM0301,10,,60.6,,,,,,,,,,
DZ,LM0302,10,,51.4,,,,,,,,,,
VY,LM0303,10,,47.7,,,,,,,,,,
BO,LM0296,11,,48.2,,,,,,,,,,
PV,LM0297,11,,48.2,,,,,,,,,,
BQ,LM0298,11,,46,,,,,,,,,,
KQ,LM0299,11,,52.8,,,,,,,,,,
BI,LM0300,11,,46.6,,,,,,,,,,
NV,LM0301,11,,60.6,,,,,,,,,,
AZ,LM0302,11,,51.4,,,,,,,,,,
FI,LM0303,11,,47.7,,,,,,,,,,
