"","challenge","CXCR3","delta","dpi","EH_ID","Eim_MC","faeces_weight","IFNy_CEWE","IFNy_FEC","IL.12","infHistory","IRG6","labels","OPG","primary","weight","weight_dpi0","Wchange","HybridStatus","Strain","EXP"
"1","UNI",-4.82375,-8.44,8,"LM_0343","neg",1.62,19.2799309525011,NA,-4.39875,"E139:UNI",-2.47875,"P3bBQA",0,NA,52.9,56.5,93.6283185840708,NA,"SWISS","P3"
"2","E64",-4.9625,-4.02,7,"LM_0336","pos",0.88,123.779469601635,NA,-3.73166666666667,"E88:E64",-5.355,"P3bBWS",448863.636363636,NA,43.8,52.3,83.7476099426386,NA,"SWISS","P3"
"3","UNI",-5.69375,-10.49,8,"LM_0340","pos",2.44,50.9646675101204,NA,-4.47625,"E64:UNI",-7.54625,"P3bFLD",0,NA,49.7,53.6,92.7238805970149,NA,"SWISS","P3"
"4","E88",-5.4825,-8.73,8,"LM_0347","pos",2.65,43.5591598840579,NA,-4.365,"E88:E88",-2.5175,"P3bFMI",5660.37735849057,NA,60.4,69.1,87.4095513748191,NA,"SWISS","P3"
"5","E88",-4.73125,-1.65,8,"LM_0338","pos",1.5,380.523992986736,NA,-2.56875,"E64:E88",-1.18625,"P3bFWG",106666.666666667,NA,48.3,50.2,96.2151394422311,NA,"SWISS","P3"
"6","E64",-5.8625,-4.38,7,"LM_0345","pos",1.96,176.343595005784,NA,-5.0325,"UNI:E64",-2.6525,"P3bFYX",895408.163265306,NA,54.8,59.2,92.5675675675675,NA,"SWISS","P3"
"7","UNI",-5.565,-5.57,8,"LM_0335","pos",1.78,23.6249410096919,NA,-3.9,"E88:UNI",-2.325,"P3bIIT",0,NA,45.6,47,97.0212765957447,NA,"SWISS","P3"
"8","E64",-4.2175,-4.27,7,"LM_0333","pos",1.99,223.244833284625,NA,-4.325,"Eflab:E64",-0.550000000000001,"P3bJRF",743718.592964824,NA,45.5,50,91,NA,"SWISS","P3"
"9","UNI",-4.49,-7.09,8,"LM_0337","pos",1.43,33.1153542171992,NA,-2.685,"E88:UNI",-1.2725,"P3bKMJ",3496.5034965035,NA,43.2,44.9,96.2138084632517,NA,"SWISS","P3"
"10","E88",-4.64625,-1.78,8,"LM_0341","pos",0.79,300.31142053042,NA,-3.78125,"E139:E88",-1.74875,"P3bNQG",25316.4556962025,NA,52.5,58.1,90.3614457831325,NA,"SWISS","P3"
"11","UNI",-5.3925,-4.94,8,"LM_0334","pos",2.15,47.4564142166688,NA,-4.61,"Eflab:UNI",-2.4,"P3bRLW",0,NA,45.1,47.3,95.3488372093024,NA,"SWISS","P3"
"12","E88",-5.4525,-5.12,8,"LM_0332","pos",2.4,224.33938439495,NA,-5.085,"Eflab:E88",-2.025,"P3bTBI",0,NA,50.6,51.3,98.635477582846,NA,"SWISS","P3"
"13","E64",-4.2725,-8.94,7,"LM_0339","pos",1.11,76.1230512085418,NA,-2.2675,"E64:E64",-1.095,"P3bUHH",135135.135135135,NA,42,48.5,86.5979381443299,NA,"SWISS","P3"
"14","UNI",-5.47875,-8.74,8,"LM_0346","pos",1.87,14.9964342922672,NA,-4.52875,"UNI:UNI",-2.47625,"P3bVJA",0,NA,49.4,53.2,92.8571428571429,NA,"SWISS","P3"
"15",NA,-5.1025,-8.06,NA,"LM_0344","pos",NA,3.67231170010524,NA,-3.615,NA,-2.6825,"P3bXAK",NA,NA,NA,NA,NA,NA,"SWISS","P3"
"16","E64",-5.0575,-6.11,7,"LM_0342","pos",1.14,26.8867342101947,NA,-4.1675,"E139:E64",-2.525,"P3bXFC",39473.6842105263,NA,46.5,55.6,83.6330935251799,NA,"SWISS","P3"
"17",NA,NA,NA,8,"LM_0333",NA,1.72,NA,NA,NA,"Eflab:E64",NA,"P3aATV",188953.488372093,"Eflab",49,52.7,92.9791271347249,NA,"SWISS","P3"
"18",NA,NA,NA,9,"LM_0336",NA,1.02,NA,NA,NA,"E88:E64",NA,"P3aAZR",465686.274509804,"E88",43.7,51.9,84.2003853564547,NA,"SWISS","P3"
"19",NA,NA,NA,10,"LM_0332",NA,0.27,NA,NA,NA,"Eflab:E88",NA,"P3aBBD",74074.0740740741,"Eflab",47.6,61.2,77.7777777777778,NA,"SWISS","P3"
"20",NA,NA,NA,11,"LM_0337",NA,2.49,NA,NA,NA,"E88:UNI",NA,"P3aBSJ",12048.1927710843,"E88",40.8,44.7,91.2751677852349,NA,"SWISS","P3"
"21",NA,NA,NA,9,"LM_0345",NA,4.44,NA,NA,NA,"UNI:E64",NA,"P3aCCY",NA,"UNI",57.3,60.7,94.3986820428336,NA,"SWISS","P3"
"22",NA,NA,NA,7,"LM_0339",NA,1.93,NA,NA,NA,"E64:E64",NA,"P3aCXA",1103626.94300518,"E64",46.6,49.6,93.9516129032258,NA,"SWISS","P3"
"23",NA,NA,NA,5,"LM_0344",NA,3.15,NA,0,NA,"UNI:E88",NA,"P3aDAL",0,"UNI",50.7,51.4,98.6381322957199,NA,"SWISS","P3"
"24",NA,NA,NA,7,"LM_0343",NA,1.13,NA,296.748537396371,NA,"E139:UNI",NA,"P3aDJM",79646.0176991151,"E139",51,59.8,85.2842809364548,NA,"SWISS","P3"
"25",NA,NA,NA,4,"LM_0343",NA,2.77,NA,0,NA,"E139:UNI",NA,"P3aDTY",0,"E139",56.2,59.8,93.9799331103679,NA,"SWISS","P3"
