"","EH_ID","experiment","mouse_strain","primary_infection","challenge_infection","infection_history","labels","weight","weight_dpi0","relative_weight","feces_weight","dpi","infection","oocyst_sq1","oocyst_sq2","oocyst_sq3","oocyst_sq4","dilution"
"1","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aBLZ",18.25,18.93,"96.4078182778658",0.61,10,"primary",10,4,4,7,1
"2","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aHUY",19.44,18.93,"102.694136291601",1.62,2,"primary",NA,NA,NA,NA,1
"3","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aACD",18.93,18.93,"100",0,0,"primary",0,0,0,0,1
"4","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aVXY",19.22,18.93,"101.531959852087",0.27,5,"primary",0,0,0,0,1
"5","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aBEJ",18.41,18.93,"97.2530375066033",0,7,"primary",5,5,8,13,1
"6","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aCXY",18.88,18.93,"99.7358689910196",0,11,"primary",0,0,0,2,1
"7","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aRVX",19.34,18.93,"102.16587427364",0,6,"primary",0,0,0,0,1
"8","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aGTY",17.62,18.93,"93.0797675647121",0.83,9,"primary",43,37,56,49,1
"9","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aMQS",19.79,18.93,"104.543053354464",0,1,"primary",NA,NA,NA,NA,1
"10","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aOQZ",17.87,18.93,"94.4004226096144",0.92,8,"primary",25,21,34,23,1
"11","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aHKT",19.03,18.93,"100.528262017961",1.26,3,"primary",NA,NA,NA,NA,1
"12","LM0179","E5","PWD_BUSNA","E88",NA,NA,"E57aELN",19.45,18.93,"102.746962493397",1.35,4,"primary",0,0,0,0,1
"13","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aLMW",23.92,24.1,"99.253112033195",1.28,5,"primary",0,0,0,0,1
"14","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aBLX",24.1,24.1,"100",0.76,0,"primary",0,0,0,0,1
"15","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aMQT",23.82,24.1,"98.8381742738589",1.21,2,"primary",NA,NA,NA,NA,1
"16","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aCLZ",23.79,24.1,"98.7136929460581",1.38,3,"primary",NA,NA,NA,NA,1
"17","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aCGI",22.25,24.1,"92.3236514522822",0.99,8,"primary",30,44,58,48,1
"18","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aQRU",23.32,24.1,"96.7634854771784",2.53,7,"primary",0,0,0,0,1
"19","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aDPT",22.61,24.1,"93.8174273858921",1.4,10,"primary",16,17,8,14,1
"20","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aGLV",24.01,24.1,"99.6265560165975",1.78,4,"primary",0,0,0,0,1
"21","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aDTY",23.7,24.1,"98.3402489626556",0.73,1,"primary",NA,NA,NA,NA,1
"22","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aQVZ",21.69,24.1,"90",0,9,"primary",19,31,24,21,1
"23","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aIJY",23.59,24.1,"97.8838174273859",0.73,11,"primary",0,2,0,0,1
"24","LM0180","E5","STRA_BUSNA","E88",NA,NA,"E57aKWY",23.66,24.1,"98.1742738589212",0,6,"primary",0,0,0,0,1
"25","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aBCS",14.5,17.5,"82.8571428571429",0.9,10,"primary",13,5,8,15,1
"26","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aHPU",14.73,17.5,"84.1714285714286",0.45,9,"primary",25,21,32,26,1
"27","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aJLY",17.48,17.5,"99.8857142857143",0.73,6,"primary",0,0,0,0,1
"28","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aIRX",17.78,17.5,"101.6",0.47,2,"primary",NA,NA,NA,NA,1
"29","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aCGH",14.41,17.5,"82.3428571428572",0.22,11,"primary",3,1,1,0,1
"30","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aMQR",18.22,17.5,"104.114285714286",0,1,"primary",NA,NA,NA,NA,1
"31","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aLPT",14.81,17.5,"84.6285714285714",0,8,"primary",22,20,25,19,1
"32","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aKMS",16.91,17.5,"96.6285714285714",0.67,5,"primary",0,0,0,0,1
"33","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aINV",16.03,17.5,"91.6",0.85,7,"primary",0,1,0,2,1
"34","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aAWY",17.5,17.5,"100",0.51,0,"primary",0,0,0,0,1
"35","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aPSY",17.65,17.5,"100.857142857143",1.57,4,"primary",0,0,0,0,1
"36","LM0181","E5","BUSNA_BUSNA","E88",NA,NA,"E57aQTW",17.41,17.5,"99.4857142857143",1.72,3,"primary",NA,NA,NA,NA,1
"37","LM0182","E5","SCHUNT_PWD","E88",NA,NA,"E57aBOR",17.45,16.94,"103.010625737898",0.63,2,"primary",NA,NA,NA,NA,1
"38","LM0182","E5","SCHUNT_PWD","E88",NA,NA,"E57aDMZ",17.61,16.94,"103.955135773318",0,10,"primary",4,7,7,11,1
"39","LM0182","E5","SCHUNT_PWD","E88",NA,NA,"E57aFSW",17.37,16.94,"102.538370720189",0,7,"primary",0,0,0,0,1
"40","LM0182","E5","SCHUNT_PWD","E88",NA,NA,"E57aABD",17.35,16.94,"102.420306965762",0.7,4,"primary",0,0,0,0,1
"41","LM0182","E5","SCHUNT_PWD","E88",NA,NA,"E57aHIS",17.83,16.94,"105.253837072019",0,3,"primary",NA,NA,NA,NA,1
"42","LM0182","E5","SCHUNT_PWD","E88",NA,NA,"E57aESV",17.48,16.94,"103.18772136954",0.9,1,"primary",NA,NA,NA,NA,1
"43","LM0182","E5","SCHUNT_PWD","E88",NA,NA,"E57aACW",18.18,16.94,"107.319952774498",1.78,8,"primary",7,12,20,12,1
